SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,E,3456,EQUITY,0,TATAMOTORS,1,Tata Motors,,,,5,NA,ES,EQ,TATA MOTORS LIMITED
NSE,E,3466,EQUITY,0,TFCILTD,1,Tourism Finance Corporation of India,,,,1,NA,ES,EQ,TOURISM FINANCE CORP. OF
NSE,E,347,EQUITY,0,BANARBEADS,1,Banaras Beads,,,,1,NA,ES,EQ,BANARAS BEADS LTD
NSE,E,3475,EQUITY,0,THERMAX,1,Thermax,,,,10,NA,ES,EQ,THERMAX LTD
NSE,E,3481,EQUITY,0,THOMASCOOK,1,Thomas Cook,,,,1,NA,ES,EQ,THOMAS COOK (INDIA) LTD
NSE,E,3482,EQUITY,0,CLSEL,1,Chaman Lal Setia Exports,,,,5,NA,ES,EQ,CHAMAN LAL SETIA EXP LTD
NSE,E,3484,EQUITY,0,TIL,1,TIL,,,,1,NA,ES,EQ,TIL LTD
NSE,E,3496,EQUITY,0,TIRUMALCHM,1,Thirumalai Chemicals,,,,1,NA,ES,EQ,THIRUMALAI CHEMICALS LTD
NSE,E,3499,EQUITY,0,TATASTEEL,1,Tata Steel,,,,1,NA,ES,EQ,TATA STEEL LIMITED
NSE,E,350,EQUITY,0,BANARISUG,1,Bannari Amman Sugars,,,,10,NA,ES,EQ,BANNARI AMMAN SUGARS LTD
NSE,E,3506,EQUITY,0,TITAN,1,Titan,,,,10,NA,ES,EQ,TITAN COMPANY LIMITED
NSE,E,3507,EQUITY,0,MAFANG,1,Mirae Asset NYSE FANG+ ETF,,,,1,NA,ETF,EQ,MIRAEAMC - MAFANG
NSE,E,3509,EQUITY,0,TNPETRO,1,Tamilnadu Petroproducts,,,,1,NA,ES,EQ,TAMILNADU PETROPRODUCTS L
NSE,E,3512,EQUITY,0,TNTELE,1,Tamilnadu Telecommunications,,,,1,NA,ES,EQ,TAMILNADU TELECOMMUNICATI
NSE,E,3518,EQUITY,0,TORNTPHARM,1,Torrent Pharmaceuticals,,,,10,NA,ES,EQ,TORRENT PHARMACEUTICALS L
NSE,E,3530,EQUITY,0,AXISBPSETF,1,Axis Nifty AAA Bond Plus SDL April 2026,,,,1,NA,ETF,EQ,AXISAMC - AXISBPSETF
NSE,E,3546,EQUITY,0,TTKPRESTIG,1,TTK Prestige,,,,5,NA,ES,EQ,TTK PRESTIGE LTD
NSE,E,3563,EQUITY,0,ADANIGREEN,1,Adani Green Energy,,,,5,NA,ES,EQ,ADANI GREEN ENERGY LTD
NSE,E,357,EQUITY,0,NAM-INDIA,1,Nippon Life India AMC,,,,5,NA,ES,EQ,NIPPON L I A M LTD
NSE,E,3570,EQUITY,0,UCAL,1,UCAL,,,,1,NA,ES,EQ,UCAL LIMITED
NSE,E,3579,EQUITY,0,UNICHEMLAB,1,Unichem Laboratories,,,,5,NA,ES,EQ,UNICHEM LABORATORIES LTD
NSE,E,3586,EQUITY,0,MOKSH,1,Moksh Ornaments,,,,1,NA,ES,EQ,MOKSH ORNAMENTS LIMITED
NSE,E,359,EQUITY,0,ROML,1,Raj Oil Mills,,,,1,NA,ES,EQ,RAJ OIL MILLS LIMITED
